dvd_num,title
green-114,DUCKMAN Disc 2
green-115,DUCKMAN Disc 3
green-116,DUCKMAN Disc 4
green-117,DUCKMAN Disc 5
green-118,DUCKMAN Disc 6
green-119,DUCKMAN Disc 7
green-120,DUCKMAN Disc 8
green-121,DUCKMAN Disc 9
green-122,DUCKMAN Disc 10
green-123,AVENGERS CONFIDENTIAL Disc 1
green-124,THOR Disc 1
green-125,Wakfu Disc 1
green-126,Wakfu Disc 1
green-127,Wakfu Disc 1
green-128,Wakfu Disc 1
green-129,SANTA’S Apprentice Disc 1
green-157,Marsupilami A Tail of Two Cities Disc 1
green-158,Marsupilami A Tail of Two Cities Disc 2
green-159,SAUVEZ WILLY LA SERIE ANIMEE 2
green-160,SAUVEZ WILLY LA SERIE ANIMEE  3
green-161,Swiss Family Robinson
green-162,Pingu BOOGALOO
green-163,BABAR The Movie
green-169,GARFIELD RODENT REBELLION
green-171,FROZEN
green-172,MOANA
green-173,nickelodeon 90’s FAN FAVES
green-174,James and the GIANT PEACH
green-175,A Shaun the Sheep MOVIE
green-176,MOANA
green-177,BIG HERO 6
green-178,FERDINAND
green-179,My Neighbor Totoro
green-180,COCO
green-181,TOY STORY 4
green-182,GARFIELD & Cie
green-183,HAMTARO little hamsters big adventures
green-184,HAMTARO little hamsters big adventures
green-185,BLUEY STICKY GECKO and other stories
green-186,TOM and JERRY CLASSIC COLLECTION
green-187,Leo the LION King of the Jungle
green-190,Widgets Great Whale Adventure
green-191,Widget Of The Jungle
green-193,Best of Bugs Bunny volume 4
green-194,ICE AGE
green-195,Raggs PAWSUUUP! BOW WOW BOOGIE
green-196,SHREK 2
green-197,THE INCREDIBLES DISC 1
green-198,THE INCREDIBLES DISC 2
green-199,Bob the Builder CHIP OFF THE OLD BLOCK
green-200,PARTY TIME WITH BEAR
green-201,Come On and Party Hi-5
green-202,STOP LOOK LISTEN Hi-5
green-203,MARS NEEDS MOMS
green-204,E.T. THE EXTRA-TERRESRIAL
green-205,SANTA CLAWS
green-206,ABC FOR KIDS FUN in the SUN
green-207,ABC FOR KIDS Story Time
green-208,BANANA’S in PYJAMAS Banana Dance
green-209,HERCULES
green-210,IVANHOE
green-211,THE Treacle People
green-213,CARTOON Fairy Tales
green-214,HIGGLYTOWN HEROES
green-215,little einsteins GO to America
green-216,FUTURAMA SEASON FOUR DISC THREE
green-217,In the Night Garden… Hello Igglepiggle
green-219,BLUEY Queens and other stories
green-221,HOME ON THE RANGE
green-222,JOHNNY BRAVO   Disc 1
green-223,JOHNNY BRAVO   Disc 2
green-224,COURAGE THE COWARDLY DOG
green-225,COURAGE THE COWARDLY DOG
green-226,CARTOON FESTIVAL VOL.5
green-227,SHERLOCK GNOMES
green-242,DRAGONBALL Collection 4 Disc 2
green-243,DRAGONBALL Collection 5 Disc 1
green-244,DRAGONBALL Collection 5 Disc 2
green-245,DRAGONBALL Collection 6 Disc 1
green-246,DRAGONBALL Collection 6 Disc 2
green-258,DONALD’S Laugh Factory
green-259,Tiny Toon Adventures Season 1 Volume 2 Disc 1
green-260,Tiny Toon Adventures Season 1 Volume 2 Disc 2
green-261,Tiny Toon Adventures Season 1 Volume 2 Disc 3
green-262,Tiny Toon Adventures Season 1 Volume 2 Disc 1
green-263,DOT AND THE KANGAROO
green-267,JUNGLE BOOK
green-268,TABALUGA
green-271,Bambaloo Box Set 3 Disc 1
green-272,Bambaloo Box Set 3 Disc 2
green-273,Bambaloo Box Set 3 Disc 3
green-274,Pound Puppies Homeward Pound
green-275,Winx CLUB BELIEVE in MAGIC
green-283,THE DAY MY BUTT WENT PSYCHO!
green-284,GERONIMO STILTON VOUME 2
green-285,TWAS THE NIGHT BEFORE BUMPY
green-286,KERMIT’S SWAMP YEARS & THE MUPPETS TAKE MANHATTAN
green-287,THE SUPER MARIO BROS SUPER SHOW! ALL STEAMED UP DISC 1
green-288,THE SUPER MARIO BROS SUPER SHOW!
green-289,LETS GO GHOSTBUSTERS VOLUME 2 DISC 1
green-290,LETS GO GHOSTBUSTERS VOLUME 2 DISC 2
green-291,LETS GO GHOSTBUSTERS VOLUME 2 DISC 3
green-294,COUNTDOWN TO CHRISTMAS
green-295,ASTROBOY VOLUME 3
green-296,ASTROBOY VOLUME 4
green-297,ASTROBOY VOLUME 6
green-298,ASTROBOY VOLUME 9
green-299,ASTROBOY VOLUME 10
green-300,NICKELODEON HALLOWEEN SPECIALS
green-301,EVERYBODY LOVES DONALD
green-302,SATURDAY MORNING CARTOON COLLECTION DISC 1
green-303,SATURDAY MORNING CARTOON COLLECTION DISC 2
green-304,SATURDAY MORNING CARTOON COLLECTION DISC 3
green-305,SATURDAY MORNING CARTOON COLLECTION DISC 4
green-306,SATURDAY MORNING CARTOON COLLECTION DISC 5
green-307,SATURDAY MORNING CARTOON COLLECTION DISC 6
green-308,SATURDAY MORNING CARTOON COLLECTION DISC 7
green-309,THE MANY ADVENTURES OF WINNIE THE POOH
green-310,TOYS AND PETS
green-311,MICKEY’S TWICE UPON A CHRISTMAS
green-312,SONIC THE HEDGEHOG
green-313,DIGIMON S1 DISC 1
green-314,DIGIMON S1 DISC 2
green-315,DIGIMON S1 DISC 3
green-316,DIGIMON S1 DISC 4
green-317,DIGIMON S1 DISC 5
green-318,DIGIMON S1 DISC 6
green-319,DIGIMON S1 DISC 7
green-320,DIGIMON S1 DISC 8
green-321,DIGIMON S2 DISC 1
green-322,DIGIMON S2 DISC 2
green-323,DIGIMON S2 DISC 3
green-324,DIGIMON S2 DISC 4
green-325,DIGIMON S2 DISC 5
green-326,DIGIMON S2 DISC 6
green-327,DIGIMON S2 DISC 7
green-328,DIGIMON S2 DISC 8
green-329,DIGIMON S3 DISC 1
green-330,DIGIMON S3 DISC 2
green-331,DIGIMON S3 DISC 3
green-332,DIGIMON S3 DISC 4
green-333,DIGIMON S3 DISC 5
green-334,DIGIMON S3 DISC 6
green-335,DIGIMON S3 DISC 7
green-336,DIGIMON S3 DISC 8
green-337,DIGIMON S4 DISC 1
green-338,DIGIMON S4 DISC 2
green-339,DIGIMON S4 DISC 3
green-340,DIGIMON S4 DISC 4
green-341,DIGIMON S4 DISC 5
green-342,DIGIMON S4 DISC 6
green-343,DIGIMON S4 DISC 7
green-344,DIGIMON S4 DISC 8
green-345,DIGIMON S5 DISC 1
green-346,DIGIMON S5 DISC 2
green-347,DIGIMON S5 DISC 3
green-348,DIGIMON S5 DISC 4
green-349,DIGIMON S5 DISC 5
green-350,DIGIMON S5 DISC 6
green-351,DIGIMON S5 DISC 7
green-352,DIGIMON S5 DISC 8
green-353,20 GARFIELD STORIES
green-354,The Wacky World Of Tex Avery Volume 1  Disc 1
green-355,The Wacky World Of Tex Avery Volume 1  Disc 2
green-356,The Wacky World Of Tex Avery Volume 1  Disc 3
green-357,The Wacky World Of Tex Avery Volume 1  Disc 4
green-358,Diego Saves The World
green-359,The Avenging Apes of Africa
green-360,Thomas and Friends Trainloads of Thomas Fun Disc 1
green-361,Thomas and Friends Trainloads of Thomas Fun Disc 2
green-363,Sesame Street Guess that Shape and Colour
green-364,Rugrats Season 1 Disc 1
green-365,Rugrats Season 1 Disc 2
green-366,Spongebob Season 6 Disc 1
green-367,Spongebob Season 6 Disc 2
green-369,Spongebob Season 6 Disc 4
green-370,Spongebob Season 7 Disc 1
green-371,Spongebob Season 7 Disc 2
green-372,Spongebob Season 7 Disc 3
green-373,Spongebob Season 7 Disc 4
green-374,THE BIG KNIGHTS
green-375,THE SECRET OF NIMH 1
green-376,THE SECRET OF NIMH 2
green-377,GARFIELD AND FRIENDS SEASON 1 DISC 1
green-378,GARFIELD AND FRIENDS SEASON 1 DISC 2
green-379,GARFIELD AND FRIENDS SEASON 2 DISC 1
green-380,GARFIELD AND FRIENDS SEASON 2 DISC 2
green-381,GARFIELD AND FRIENDS SEASON 2 DISC 3
green-382,GARFIELD AND FRIENDS SEASON 3 DISC 1
green-383,GARFIELD AND FRIENDS SEASON 3 DISC 2
green-384,TINY TOON ADVENTURES VOLUME 3 DISC 1
green-385,TINY TOON ADVENTURES VOLUME 3 DISC 2
green-386,TINY TOON ADVENTURES VOLUME 4 DISC 1
green-387,TINY TOON ADVENTURES VOLUME 4 DISC 2
green-388,CHIP N DALE TROUBLE IN A TREE
green-389,CHIP N DALE HERE COMES TROUBLE
green-390,BARTOK THE MAGNIFICIENT
green-391,"PEPPA PIG, PEPPA’S CHRISTMAS VISIT"
green-392,PEPPA PIG CHRISTMAS DOUBLE PACK DISC 1
green-393,PEPPA PIG CHRISTMAS DOUBLE PACK DISC 2
green-394,"NELLA THE PRINCESS KNIGHT, THE KNIGHT BEFORE CHRISTMAS"
green-395,TINY TOON ADVENTURES HOW I SPENT MY VACATION
green-396,Street Sharks Disc 1
green-397,Street Sharks Disc 2
green-398,Street Sharks Disc 3
green-399,Street Sharks Disc 4
green-400,X-Men Volume 1
green-401,Sonic Underground Volume 1
green-402,Fantastic Four- A legend begins
green-403,Iron Man Disc 1
green-404,Iron Man Disc 2
green-405,Iron Man Disc 3
green-406,Maisy Animals
green-407,Teletubbies 10 Happy Birthday
green-408,Louie Draw Me A Tractor
green-409,Sabrina’s Secret Life   Volume 1
green-410,Sabrina’s Secret Life   Volume 2
green-411,Sabrina’s Secret Life   Volume 3
green-412,Ben 10 Ultimate Alien  Disc 1
green-414,Ben 10 Omniverse  Disc 1
green-415,Ben 10 Omniverse  Disc 2
green-416,Ben 10 Omniverse Vol 2 Disc 1
green-417,Ben 10 Omniverse  Vol 2 Disc 2
green-418,Ben 10 Ultimate Alien  Volume 7
green-419,The Twisted Tales of Felix the Cat Disc 1
green-420,The Twisted Tales of Felix the Cat Disc 2
green-421,The Twisted Tales of Felix the Cat Disc 3
green-422,The Best of C.O.P.S.
green-423,HERMAN & FRIENDS
green-424,Gullivers Travels
green-425,Cartoon Classics Vol. 10
green-426,SpongeBob Squarepants   Tide and Seek
green-428,BEST PALS Mickey & Pluto
green-429,G.I. JOE        RESOLUTE
green-430,ANGRY BEAVERS  VOLUME 1 DISC 1
green-431,ANGRY BEAVERS  VOLUME 1 DISC 2
green-432,ANGRY BEAVERS  VOLUME 1 DISC 3
green-433,ANGRY BEAVERS  VOLUME 1 DISC 4
green-434,ANGRY BEAVERS VOLUME 2 DISC 1
green-435,ANGRY BEAVERS VOLUME 2 DISC 2
green-436,ANGRY BEAVERS VOLUME 2 DISC 3
green-437,ANGRY BEAVERS VOLUME 2 DISC 4
green-438,ANGRY BEAVERS VOLUME 2 DISC 5
green-439,ANGRY BEAVERS VOLUME 2 DISC 6
green-440,FIREMAN SAM      SET FOR ACTION!
green-441,FIREMAN SAM     RACE AGAINST TIME
green-443,AAAHH!!! REAL MONSTERS VOLUME 1 DISC 2
green-444,AAAHH!!! REAL MONSTERS VOLUME 1 DISC 3
green-445,AAAHH!!! REAL MONSTERS VOLUME 1 DISC 4
green-446,AAAHH!!! REAL MONSTERS VOLUME 2 DISC 1
green-447,AAAHH!!! REAL MONSTERS VOLUME 2 DISC 2
green-448,AAAHH!!! REAL MONSTERS VOLUME 2 DISC 3
green-449,AAAHH!!! REAL MONSTERS VOLUME 2 DISC 4
green-450,GARFIELD GETS REAL
green-451,KIMBA THE WHITE LION VOLUME 2 DISC 3
green-452,KIMBA THE WHITE LION VOLUME 2 DISC 4
green-453,KIMBA THE WHITE LION VOLUME 4 DISC 7
green-454,KIMBA THE WHITE LION VOLUME 4 DISC 8
green-455,KIMBA THE WHITE LION VOLUME 5 DISC 9
green-457,SEALAB 2020 DISC 1
green-458,SEALAB 2020 DISC 2
green-459,MARINE BOY SEASON 1 DISC 1
green-460,MARINE BOY SEASON 1 DISC 2
green-461,MARINE BOY SEASON 1 DISC 3
green-462,SPONGEBOB SQUAREPANTS BIKINI BOTTOM ADVENTURES
green-463,THE WILD THORNBERRYS SEASON 1 DISC 1
green-464,THE WILD THORNBERRYS SEASON 1 DISC 2
green-465,THE WILD THORNBERRYS SEASON 1 DISC 3
green-466,THE WILD THORNBERRYS SEASON 1 DISC 4
green-467,THE WILD THORNBERRYS SEASON 2 DISC 1
green-468,THE WILD THORNBERRYS SEASON 2 DISC 2
green-469,THE WILD THORNBERRYS SEASON 2 DISC 3
green-470,THE WILD THORNBERRYS SEASON 2 DISC 4
green-471,THE WILD THORNBERRYS SEASON 2 DISC 5
green-472,THE WILD THORNBERRYS SEASON 2 DISC 6
green-473,THE WILD THORNBERRYS SEASON 3 DISC 1
green-474,THE WILD THORNBERRYS SEASON 3 DISC 2
green-475,THE WILD THORNBERRYS SEASON 3 DISC 3
green-476,THE WILD THORNBERRYS SEASON 4 & 5 DISC 1
green-477,THE WILD THORNBERRYS SEASON 4 & 5 DISC 2
green-478,DONALD DUCK’S CHRISTMAS FAVOURITES
green-479,THE NIGHTMARE BEFORE CHRISTMAS DISC 1
green-480,THE NIGHTMARE BEFORE CHRISTMAS DISC 2
green-481,THE ALVINNN!!! EDTION DISC 1
green-482,THE ALVINNN!!! EDITION DISC 2
green-483,3 MOVIE COLLECTION- MICKEY’S CHRISTMAS CAROL
green-484,3 MOVIE COLLECTION-THE MUPPETS CHRISTMAS CAROL
green-485,"3 MOVIE COLLECTION-CELEBRATE CHRISTMAS WITH MICKEY, DONALD & FRIENDS"
green-486,The Adventures of Super Mario Bros 3 The Trouble with Koopas  
green-488,Looney Tunes Collection   ALL STARS  Volume 4
green-489,SPIES IN DISGUISE
green-490,2 STUPID DOGS / SECRET SQUIRREL SHOW   VOLUME ONE   DISC 1
green-491,2 STUPID DOGS / SECRET SQUIRREL SHOW   VOLUME ONE   DISC 2
green-492,BEST of PORKY PIG   VOLUME 2
green-493,JOHNNY QUEST   The Complete First Season   DISC 1
green-494,JOHNNY QUEST   The Complete First Season   DISC 2
green-495,JOHNNY QUEST    The Complete First Season    DISC 3
green-496,50 CARTOON COLLECTION LOONEY TUNES   Disc 1
green-497,50 CARTOON COLLECTION LOONEY TUNES    Disc 2
green-498,25 CARTOON COLLECTION LOONEY TUNES    Disc 1
green-499,25 CARTOON COLLECTION LOONEY TUNES    Disc 2
green-500,MICKEY’S LAUGH FACTORY
green-501,FUNNY FACTORY with GOOFY Vol 3
green-502,GIANT 600 CARTOON COLLECTION DISC 1
green-503,GIANT 600 CARTOON COLLECTION DISC 2
green-504,GIANT 600 CARTOON COLLECTION DISC 3
green-505,GIANT 600 CARTOON COLLECTION DISC 4
green-506,GIANT 600 CARTOON COLLECTION DISC 5
green-507,GIANT 600 CARTOON COLLECTION DISC 6
green-508,GIANT 600 CARTOON COLLECTION DISC 7
green-509,GIANT 600 CARTOON COLLECTION DISC 8
green-510,GIANT 600 CARTOON COLLECTION DISC 9
green-511,GIANT 600 CARTOON COLLECTION DISC 10
green-512,GIANT 600 CARTOON COLLECTION DISC 11
green-513,GIANT 600 CARTOON COLLECTION DISC 12
green-514,CLASSIC CARTOONS VOLUME 1&2 DISC 1 SIDE A
green-515,CLASSIC CARTOONS VOLUME 1&2 DISC 1 SIDE B
green-516,CLASSIC CARTOONS VOLUME 1&2 DISC 2 SIDE A
green-517,CLASSIC CARTOONS VOLUME 1&2 DISC 2 SIDE B
green-518,UNDERDOG      Volume 2  Disc 1
green-519,UNDERDOG      Volume 2  Disc 2
green-520,UNDERDOG      Volume 2 Disc 3
green-521,A BOY NAMED CHARLIE BROWN
green-522,THE PEBBLE AND THE PENGUIN
green-523,THE WIND IN THE WILLOWS
green-524,AROUND THE WORLD IN 80 DAYS
green-525,BLACK BEAUTY
green-526,Transformers Generation One Disc 1
green-527,Transformers Generation One Disc 2
green-528,Transformers Generation One Disc 3
green-529,Generator Rex Disc 1
green-530,Generator Rex Disc 2
green-531,PENGUIN LAND
green-532,THE FLINTSTONES THE COMPLETE FIRST SEASON DISC 1
green-533,THE FLINTSTONES THE COMPLETE FIRST SEASON DISC 2
green-534,THE FLINTSTONES THE COMPLETE FIRST SEASON DISC 3
green-535,THE FLINTSTONES THE COMPLETE FIRST SEASON DISC 4
green-536,THE FLINTSTONES THE COMPLETE FIRST SEASON DISC 5
green-537,THE JETSONS THE COMPLETE FIRST SEASON DISC 1
green-538,THE JETSONS THE COMPLETE FIRST SEASON DISC 2
green-541,DIEGO’S MAGICAL MISSIONS
green-542,MADELINE    MADELINE’S RESCUE
green-543,GOLDILOCK AND THE THREE BEARS
green-544,DIGIMON THE MOVIE
green-545,THE JUNGLE KING
green-546,WHAT A CARTOON DISC 1
green-547,WHAT A CARTOON DISC 2
green-548,WHAT A CARTOON DISC 3
green-549,WHAT A CARTOON DISC 4
green-550,MICKEY’S TREAT
green-551,GOOBER AND THE GHOST CHASERS DISC 1
green-552,GOOBER AND THE GHOST CHASERS DISC 2
green-553,GOOBER AND THE GHOST CHASERS DISC 3
green-554,GOOBER AND THE GHOST CHASERS DISC 4
green-555,BEETLEJUICE SEASON 1 DISC 1
green-556,BEETLEJUICE SEASON 1 DISC 2
green-557,BEETLEJUICE SEASON 2 DISC 1
green-558,BEETLEJUICE SEASON 3 DISC 1
green-559,BEETLEJUICE SEASON 4 PART ONE DISC1
green-560,BEETLEJUICE SEASON 4 PART ONE DISC 2
green-561,BEETLEJUICE SEASON 4 PART ONE DISC 3
green-562,BEETLEJUICE SEASON 4 PART ONE DISC 4
green-563,BEETLEJUICE SEASON 4 PART TWO DISC 5
green-564,BEETLEJUICE SEASON 4 PART TWO DISC 6
green-565,BEETLEJUICE SEASON 4 PART TWO DISC 7
green-566,BEETLEJUICE SEASON 4 PART TWO DISC 8
green-567,HANNA-BARBERA CHRISTMAS CLASSICS COLLECTION
green-568,Christmas Animated Classics The Nutcracker Sweet
green-569,Christmas Animated Classics Annabelle’s Wish
green-570,Christmas Animated Classics Dot and Santa Claus
green-571,PEANUTS  Lucy
green-572,PEANUTS  Charlie Brown
green-573,PEANUTS  Shroeder
green-574,PEANUTS  Peppermint Patty
green-575,PEANUTS  Linus
green-576,PEANUTS  Woodstock
green-577,SNORKS Season 1 Disc 1
green-578,SNORKS Season 1 Disc 2
green-579,THE SYLVESTER AND TWEETY MYSTERIES SEASON 1 DISC 1
green-580,THE SYLVESTER AND TWEETY MYSTERIES SEASON 1 DISC 2
green-581,HAVE YOURSELF A GOOFY LITTLE CHRISTMAS
green-582,DISNEY EXTREME ADVENTURE FUN
green-583,BANJO THE WOODPILE CAT
green-584,CLASS OF 3000 SEASON 1 DISC 1
green-585,CLASS OF 3000 SEASON 1 DISC 2
green-586,YOGI’S GANG DISC 1
green-587,YOGI’S GANG DISC 2
green-588,WACKY RACES DISC 1
green-589,WACKY RACES DISC 2  A
green-589,WACKY RACES DISC 3  B
green-590,DROOPY THE COMPLETE THEATRICAL COLLECTION DISC 1
green-591,DROOPY THE COMPLETE THEATRICAL COLLECTION DISC 2
green-592,HANNA BARBERA HOLIDAY TRIPLE FEATURE
green-593,A VERY NICKELODEON CHRISTMAS
green-594,ROCKET POWER SEASON 1 DISC 1
green-595,ROCKET POWER SEASON 1 DISC 2
green-596,ROCKET POWER SEASON 1 DISC 3
green-597,ROVER DANGERFIELD THE DOG THAT GETS NO RESPECT
green-598,RAYMOND BRIGGS FATHER CHRISTMAS
green-599,RAYMOND BRIGGS THE SNOWMAN
green-600,RAYMOND BRIGGS THE SNOWMAN AND THE SNOWDOG
green-601,THE ADVENTURES OF CHUCK & FRIENDS FIXED THAT FOR YOU
green-602,POKEMON SINNOH LEAGUE VICTORS DISC 1
green-603,POKEMON SINNOH LEAGUE VICTORS DISC 2
green-604,THE TIGER WHO CAME TO TEA
green-605,Elf Pets Santa’s St. Bernards Save Christmas
green-606,THE MITCHELLS VS THE MACHINES
green-607,MULAN
green-608,THE HUNCHBACK OF NOTRE DAME
green-609,BLACK ARROW
green-610,KIDNAPPED
green-611,THE PRISONER OF ZENDA
green-612,THE LAST MOHICANS
green-613,DON QUIXOTE
green-614,FERNGULLY THE LAST RAINFOREST
green-615,GARFIELD THE MOVIE
green-616,THE LION GUARD RETURN OF THE ROAR
green-617,WONDER PARK
green-618,ADVENTURES IN ZAMBEZIA
green-619,SHERLOCK GNOMES
green-620,SURFS UP 2 WAVEMANIA
green-621,CASPER
green-622,FERDINAND
green-623,THE JUNGLE BOOK
green-624,THE JUNGLE BOOK 2
green-625,ATTACK OF THE KILLER TOMATOES DISC 1
green-626,ATTACK OF THE KILLER TOMATOES DISC 2
green-627,WIDGETS WALKABOUT
green-628,PLUTO IN DUTCH
green-629,THE ANIMALS OF FARTHING WOOD
green-630,CASPER AND THE ANGELS
green-631,THE KWICKY KOALA SHOW SEASON 1 DISC 1
green-632,THE KWICKY KOALA SHOW SEASON 1 DISC 2
green-633,FREE WILLY SEASON 1 EPISODE 1
green-634,NOAH’S ISLAND SEASON 1 EPISODE 1
green-635,AVENGER PENGUINS
green-636,BIKER MICE FROM MARS
green-637,BLACKSTAR
green-638,THE CHARLIE BROWN AND SNOOPY SHOW DISC 1
green-639,THE CHARLIE BROWN AND SNOOPY SHOW DISC 2
green-640,THE CHARLIE BROWN AND SNOOPY SHOW DISC 3
green-641,BOBBY’S WORLD
green-642,BONKERS
green-643,THE BOTS MASTER
green-644,BRAVESTARR
green-645,BUCKY O’HARE AND THE TOAD MENACE
green-646,CAPTAIN N THE GAME MASTER
green-647,CAPTAIN SIMIAN AND THE SPACE MONKEYS
green-648,THE COMIC STRIP
green-649,CONAN THE ADVENTURER
green-650,CYBERSIX
green-651,DARKSTALKERS
green-652,DEFENDERS OF THE EARTH
green-653,DINO RIDERS
green-654,DINOSAUCERS
green-656,CAPTAIN STAR
green-657,DONKEY KONG COUNTRY
green-658,DOUBLE DRAGON
green-659,DRAGON FLYZ
green-660,EAGLE RIDERS
green-661,EEK THE CAT
green-662,THE FAMILY NESS
green-663,FANTOM CAT
green-664,FERAL TV
green-665,FIEVEL’S AMERICAN TAILS
green-666,FIREMAN SAM
green-667,FLASH GORDON
green-668,FLY TALES
green-669,THE FOX BUSTERS
green-670,FROGGER
green-671,FREAKY STORIES
green-672,FUNNYBONES
green-673,GADGET BOYS
green-674,GARGOYLES
green-675,THE GENIE FROM DOWN UNDER
green-676,GI JOE
green-677,GODZILLA
green-678,GOGS
green-679,GRAVEDALE HIGH
green-680,HERO HIGH
green-681,HIGHLANDER
green-682,HOT ROD DOGS AND COOL CAR CATS
green-683,HURRICANES
green-684,INHUMANOIDS
green-685,INSEKTORS
green-686,IT’S PUNKY BREWSTER
green-687,JAYCE AND THE WHEELED WARRIORS
green-688,THE KARATE KID
green-689,KING ARTHUR AND THE KNIGHTS OF JUSTICE
green-690,LADY LOVELY LOCKS
green-691,THE LEGEND OF PRINCE VALIANT
green-692,THE LEGENDS OF TREASURE ISLAND
green-693,THE LEGEND OF ZELDA
green-694,THE LITTLE LULU SHOW
green-695,LITTLE MONSTERS
green-696,LITTLE WIZARDS
green-697,THE LITTLES
green-698,THE LITTLE POLAR BEAR
green-699,LUCKY LUKE
green-700,THE MAGIC ADVENTURES OF MUMFIE
green-701,THE MASK
green-702,MEGA MAN
green-703,MEN IN BLACK
green-704,MERLIN THE MAGICAL PUPPY
green-705,MICROSCOPIC MILTON
green-706,MIGHTY DUCKS
green-707,MIGHTY ORBOTS
green-708,MIGHTY MAX
green-709,MONSTER FORCE
green-710,MOT
green-711,MOTHER GOOSE AND GRIMM
green-712,MUMMIES ALIVE
green-713,MUTANT LEAGUE
green-714,NEDS NEWT
green-715,NIGHTMARE NED
green-716,NODDY
green-717,OAKIE DOKE
green-718,OCEAN GIRL
green-719,OGGY AND THE COCKROACHES
green-720,ONCE UPON A TIME
green-721,OLLIVERS ADVENTURES
green-722,OSCAR AND FRIENDS
green-723,OSCARS ORCHESTRA
green-724,OZ KIDS
green-725,PABLO THE LITTLE RED FOX
green-726,PAW PAWS
green-727,PERCY THE PARK KEEPER
green-728,PETALS
green-729,PEPPER ANN
green-730,PETER PAN AND THE PIRATES
green-731,PHANTOM 2040
green-732,PHILBERT FROG
green-733,THE SIMPSONS COMPLETE 6th SEASON DISC 1
green-734,THE SIMPSONS COMPLETE 6th SEASON DISC 2
green-735,THE SIMPSONS COMPLETE 6th SEASON DISC 3
green-736,THE SIMPSONS COMPLETE 6th SEASON DISC 4
green-737,FAMILY GUY SEASON 1 DISC 1
green-738,FAMILY GUY SEASON 1 DISC 2
green-739,FAMILY GUY SEASON 2 DISC 1
green-740,FAMILY GUY SEASON 2 DISC 2
green-741,FAMILY GUY SEASON 3 DISC 1
green-742,FAMILY GUY SEASON 3 DISC 2
green-743,FAMILY GUY SEASON 3 DISC 3
green-744,FAMILY GUY UNCOVERED DISC 1
green-745,FAMILY GUY UNCOVERED DISC 1
green-746,PIGGSBURG PIGS
green-747,THE PINK PANTHER
green-748,THE PIRATES OF DARK WATER
green-749,POLE POSITION
green-750,POLICE ACADEMY
green-751,POPEYE AND SON
green-752,POPPLES
green-753,POSTMAN PAT
green-754,CAILLOU… THE CAT’S MEOW
green-755,GERONIMO STILTON
green-756,THE BISKITTS THE COMPLETE SERIES DISC 1
green-757,THE BISKITTS THE COMPLETE SERIES DISC 2
green-758,POTATOES AND DRAGONS
green-759,PRINCESS GWENEVERE AND THE JEWEL RIDERS
green-760,PRO STARS
green-761,THE QUEENS NOSE
green-762,THE RACCOONS
green-763,RAINBOW BRITE
green-764,THE REAL GHOSTBUSTERS
green-765,REBOOT
green-766,LOONEY TUNES COMPLETE PLATINUM COLLECTION DISC 1 VOLUME 1
green-767,LOONEY TUNES COMPLETE PLATINUM COLLECTION DISC 2 VOLUME 1
green-768,LOONEY TUNES COMPLETE PLATINUM COLLECTION DISC 3 VOLUME 2
green-769,LOONEY TUNES COMPLETE PLATINUM COLLECTION DISC 4 VOLUME 2
green-770,LOONEY TUNES COMPLETE PLATINUM COLLECTION DISC 5 VOLUME 3
green-771,LOONEY TUNES COMPLETE PLATINUM COLLECTION DISC 6 VOLUME 3
green-772,CENTURIONS THE ORIGINAL MINISERIES
green-773,ROBOCOP
green-774,THE ROBONIC STOOGES
green-775,RUBBISH KING OF THE JUMBLE
green-776,SABER RIDER AND THE STAR SHERIFFS
green-777,SAILOR MOON
green-778,SAMURAI PIZZA CATS
green-779,SANTO BUGITO
green-780,SEABERT
green-781,THE SECRET FILES OF SPYDOGS
green-782,SESAME STREET
green-783,SHADOW RAIDERS
green-784,SHERLOCK HOLMES IN THE 22ND CENTURY
green-785,THE SHNOOKUMS AND MEAT FUNNY CARTOON SHOW
green-786,SHE RA PRINCESS OF POWER
green-787,SILVER SURFER
green-788,SKELETON WARRIORS
green-789,SOOTY & CO
green-790,SOUL MUSIC
green-791,SPACE GOOFS
green-792,SPIDER MAN
green-793,SPIDER MAN AND HIS AMAZING FRIENDS
green-794,SPIDER MAN
green-795,SPIDER WOMAN
green-796,STONE PROTECTORS
green-797,STREET FIGHTER
green-798,STUNT DAWGS
green-799,SUPER DAVE
green-800,SUPERMAN
green-801,SWAMP THING
green-802,SYLVANIAN FAMILIES
green-803,Littlest Pet Shop- Strike a Pose!
green-804,Mighty Mouse The New Adventures! Disc 1
green-805,Mighty Mouse The New Adventures! Disc 2
green-806,Mighty Mouse The New Adventures! Disc 3
green-807,Spongebob Squarepants Legends of Bikini Bottom
green-808,THE LITTLE MERMAID
green-809,THE FLINTSTONE KIDS DISC 1
green-810,THE FLINTSTONE KIDS DISC 2
green-811,CHALLENGE OF THE GOBOTS
green-812,CLUE CLUB DISC 1
green-813,CLUE CLUB DISC 2
green-814,FANTASTIC MAX
green-815,DISNEY’S CHRISTMAS FAVOURITES
green-816,ALADDIN THE COMPLETE SERIES
green-817,SUPER MARIO BROS. SUPER SHOW 1UP
green-818,SUPER MARIO BROS. SUPER SHOW 2UP
green-819,SUPER MARIO BROS. SUPER SHOW 3UP
green-820,SUPER MARIO BROS. SUPER SHOW 4UP
